Date,Contact Title,Contact Name,Contact Office,Contact Agency,Client,Client Location,Registrant,Description,Type,Employees mentioned,Affiliated Member CRP ID,Affiliated Member Bioguide ID,Source,Contact ID,Record ID
2010-01-15,U.S. Representative,David Scott,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",Georgia/Ukraine Relations,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,144974,44003
2010-01-15,Voice of America,Peter Fedynsky,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",Georgia/Ukraine Relations,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152739,44004
2010-01-15,National Public Radio,Kevin Beesley,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",Georgia/Ukraine Relations,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152741,44005
2010-01-15,"Dep editorial page director, Washington Post",Jackson Diehl,,Media,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",Georgia/Ukraine Relations,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,141945,44006
2010-01-15,Washington Post,David Ignatius,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",Georgia/Ukraine Relations,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152742,44007
2010-01-15,"Columnist, Washington Post",Jim Hoagland,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",Georgia/Ukraine Relations,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,142009,44008
2010-01-15,,Damon Wilson,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",attended a roundtable on US-Georgia relations with Georgian President Mikheil Saakashvili,other,"Ms. McKew, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,151968,44009
2010-01-15,Atlantic Council,Fred Kempe,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",attended a roundtable on US-Georgia relations with Georgian President Mikheil Saakashvili,other,"Ms. McKew, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152743,44010
2010-01-19,with the International Crisis Group,Lawrence Sheets,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",regarding Georgian security issues,meeting,"Ms. McKew, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152744,44011
2010-01-20,National Democratic Institute,Louis Navarro,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",to discuss Georgia politics,meeting,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152745,44013
2010-01-20,,Erika Olson,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",regarding U.S./Georgian relations,meeting,"Ms. McKew, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,151974,44014
2010-01-20,"U.S. Embassy, Georgia",Julie Fisher,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",regarding U.S./Georgian relations,meeting,"Ms. McKew, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,147797,44015
2010-01-20,US Ambassador,John Bass,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",regarding U.S./Georgian relations,meeting,"Ms. McKew, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,151565,44016
2010-01-20,Staff Member on Senate Foreign Relations Committee,Marik String,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",regarding the report on Georgia,email,"Ms. McKew, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,145307,44017
2010-01-21,Committee to Protect Journalists,Joel Simon,,Media,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about media monitoring in the Georgian elections,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152746,44018
2010-01-21,with the National Democratic Institute,Luis Navarro,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",regarding Georgian elections and democracy,meeting,"Ms. McKew, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152747,44019
2010-01-22,with the International Republican Institute,Andrea Keerbs,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",regarding Georgian elections and democracy,meeting,"Ms. McKew, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152748,44020
2010-01-26,Staff Member on Senate Foreign Relations Committee,Marik String,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",regarding the report on Georgia,meeting,"Ms. McKew, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,145307,44021
2010-01-22,"Foreign Correspondent, Washington Post",Sarah Marcus,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",to discuss media coverage of Georgia,meeting,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,147795,44022
2010-01-26,"Program Associate, German Marshall Fund",Dakota Korth,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",regarding U.S.-Georgian relations,meeting,"Ms. McKew, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,143696,44023
2010-01-29,Washington Post,Ed Cody,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",on the Mistral ship controversy,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152749,44024
2010-01-28,Washington Post,Ed Cody,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",on the Mistral ship controversy,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152749,44025
2010-01-29,with the New York Times,Steve Erlanger,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about Eutelsat controversy,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152750,44026
2010-01-29,Washington Post,Ed Cody,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about Eutelsat controversy,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152749,44027
2010-01-31,Washington Post,Ed Cody,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",on the Mistral ship controversy,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152749,44028
2010-01-29,Committee to Protect Journalists,Joel Simon,,Media,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about Eutelsat controversy,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152746,44029
