client_id,name,new_client_id,subcontractor id,x
130102,Federation of Industries of the State of Sao Paulo,,,x
130335,Financial Regulatory Authority of Malta,,,x
130053,Flanders Tourism Board,,,x
129884,Fonterra Co-operative Group Ltd.,,,x
129786,"Foreign Government, Kobe Municipal Government",,,x
130341,Foreign Minister Sergey Lavrov Ministry of Foreign Affairs of the Russian Federation,,,x
129944,"Forensic Science Service, Ltd.",,,x
129975,Fukuoka Prefectural Government,,,x
130037,"Fundacion para la Inversion y Desarrollo de Exportaciones, Tegucigalpa, Honduras (FIDE)",,,x
130155,FundaSistemas (non-profit organization for which the original filing was made in August 2008),,,x
130014,Gazprom Export,,,x
130107,"General Authority for Investment and Free Zones, the Arab Republic of Egypt",,,x
129865,"German Federal Ministry for the Environment, Nuclear Safety, and Nature Conservation",,,x
130266,German Insurance Association,,,x
129840,German State of Rheinland-Pfalz,,,x
129854,Gibraltar,,,x
130202,Global Guardian Trust,,,x
130048,"Gordon Brown, Prime Minister of the United Kingdom",,,x
129839,Government of Afghanistan,,,x
130217,"Government of Afghanistan, Embassy",,,x
130093,Government of Alberta,,,x
130006,Government of Aruba,,,x
129932,Government of Barbados,,,x
129946,Government of Benin,,,x
129768,Government of Bermuda,,,x
130077,Government of British Columbia,,,x
130304,Government of Cameroon,,,x
129947,Government of Cameroon (Ministry of Finance),,,x
130146,Government of Colombia,,,x
129841,Government of Cote d'Ivoire,,,x
130208,Government of Dubai,,,x
130348,"Government of Ecuador, Embassy of the Republic of Ecuador",,,x
130000,Government of El Salvador,,,x
130373,Government of Equatorial Guinea,,,x
130045,Government of Estonia,,,x
129838,Government of Ethiopia,,,x
129956,Government of Georgia,,,x
130308,"Government of Georgia, National Security Council",,,x
129945,Government of Greece,,,x
130098,Government of Honduras,,,x
130131,Government of Hungary,,,x
130124,"Government of Hungary, Ministry of Finance",,,x
129868,Government of Iceland,,,x
129921,Government of India,,,x
130292,Government of India Tourist Office,,,x
129776,Government of Japan,,,x
130007,Government of Japan / Japan External Trade Organization,,,x
130084,Government of Luxembourg (Embassy),,,x
130085,Government of Malaysia,,,x
130233,"Government of Malaysia, Office of the Chief Secretary to the Government",,,x
130068,Government of Mexico - Secretaria de Economia,,,x
130330,Government of Montenegro,,,x
130133,Government Of Montenegro Ministry Of Foreign Affairs,,,x
130011,Government of Ontario,,,x
129777,"Government of Ontario, Ministry of Natural Resources and Ministry of Economic Development and Trade",,,x
130186,"Government of Ontario, Ministry of Northern Development, Mines and Forestry, and Ministry of Interna",,,x
130380,Government of Quebec,,,x
130115,Government of Romania,,,x
129948,Government of Rwanda,,,x
130092,Government of Saskatchewan,,,x
130280,Government of Southern Sudan (GoSS),,,x
129949,Government of Tanzania,,,x
130337,Government of Thailand,,,x
130040,Government of the Arab Republic of Egypt,,,x
129847,Government of the Bahamas,,,x
130218,Government of the Cayman Islands,,,x
129789,Government of the Cayman Islands (Department of Tourism),,,x
130224,Government of the Federal District (Mexico City),,,x
129943,Government of the Islamic Republic of Pakistan,,,x
129964,Government of the Kingdom of Morocco,,,x
129873,"Government of the People's Democratic Republic of Algeria, Embassy",,,x
129775,Government of the People's Republic of China,,,x
130035,Government of the Principality of Liechtenstein,,,x
130162,Government of the Republic of Abkhazia,,,x
129983,Government of the Republic of Croatia,,,x
129766,Government of the Republic of Cyprus,,,x
129967,Government of the Republic of Ghana (Gh),,,x
130282,Government of the Republic of Korea,,,x
129955,Government of the Republic of Macedonia,,,x
130029,Government of the Republic of Palau,,,x
130094,Government of the Republic of Singapore,,,x
130301,Government of the Republic of Singapore Ministry of Finance,,,x
130279,Government of the Republic of Somaliland,,,x
130163,Government of the Republic of South Ossetia,,,x
130026,Government Of The Republic Of The Philippines,,,x
