Benjamin Gilman (NY),3459069
Joe Wilson (SC),3459068
Dana Rohrabacher (CA),3459067
Dan Lungren (CA),3459066
John Lewis (GA),3459065
John Larson (CT),3459064
Ron Kind (WI),3459063
Bob Inglis (SC),3459062
Gabrielle Giffords (AZ),3459061
Virginia Foxx (NC),3459060
Jeff Flake (AZ),3459059
Sam Farr (CA),3459058
Joseph Courtney (CT),3459057
Dave Camp (MI),3459056
Dan Boren (OK),3459055
Rep. Mark Schauer (MI),3459053
Rep. Ron Klein (FL),3459052
Rep. Aaron Schock (IL),3459051
Rep. Vic Snyder (AR),3459050
Rep Rodney Alexander (LA),3459049
Rob Wittman (VA),3459048
Mac Thornberry (TX),3459047
Solomon Ortiz (TX),3459046
Gregory Meeks (NY),3459045
Roger Wicker (MS),3459242
Johnny Isakson (GA),3459241
Roger Wicker (MS),3459221
Roger Wicker (MS),3459218
Robert Bennett (UT),3459216
Roger Wicker (MS),3459212
Richard Lugar (IN),3459211
Rep. Kay Granger (TX),3459142
Bill Young (FL),3459135
Nita Lowey (NY),3459134
Jerry Lewis (CA),3459133
Rodney Frelinghuysen (NJ),3459132
Norm Dicks (WA),3459131
Christian Westermann (Ret.),3459128
Frank Wolf (VA),3459120
Scott Gration (Ret.),3459088
Scott Gration (Ret),3459253
Roger Wicker (MS),3459274
Robert Bennett (R-UT),3463053
"Haley Barbour (R-MS), Mitch Daniels (R-IN), and Tim Pawlenty (R-MN)",3463052
Bob McDonnell (R-VA),3463051
"Robert Bennett (R-UT), Thad Cochran (R-MS), Kay Hutchison (R-TX), and Jon Kyl (R-AZ)",3463050
"Jeff Sessions (R-AL), Jim Webb (D-VA) and Roger Wicker (R-MS)",3463049
"John Barrasso (R-WY), George LeMieux (R-FL), Susan Collins (R-ME), Lindsay Graham (R-SC)",3463048
"Bernard Parks (Los Angeles, CA)",3465254
"David Coss (Santa Fe, NM)",3465255
Bill Richardson (NM),3465256
Michael McMahon (NY),3465257
"Sandra Hutchens (Orange County, CA)",3465258
Ben Lujan (NM),3465259
Shelley Berkley (NV),3465260
"Oscar Goodman (Las Vegas, NV)",3465261
Mike Schneider (NV),3465262
"Reed (San Jose, CA)",3465263
Michael McMahon (NY),3465274
Robert Bishop (R-UT-1st),3468095
John Fleming (R-LA-4th),3468093
Lincoln Davis (D-TN-4th),3468091
Bob Corker (R-TN),3468090
Darrell Issa (R-CA-49th),3468083
Charlie Gonzalez (D-TX-20th),3468074
Charlie Gonzalez (D-TX-20th),3468073
Jill Morgenthaler (IL),34022
Steve Stivers (OH),33954
Aaron Schock (IL),33807
Gen. Brent Scowcroft (Ret.),33445
Gen. Brent Scowcroft (Ret.),33444
Robert Pearson (Ret.),32799
Mark Parris (Ret.),32798
James Homes (Ret.),32797
John Peterson (PA),32614
Shelley Moore Capito (WV),32596
Dave Camp (MI),32594
Ginny Brown-Waite (FL),32593
Rob Bishop (UT),32592
Brian Bilbray (CA),32591
Roscoe Bartlett (MD),32590
Spencer Bachus (AL),32589
Michele Bachmann (MN),32588
Todd Akin (MO),32587
Fred Upton (MI),32584
John Shadegg (AZ),32583
Jim Saxton (NJ),32582
Rick Renzi (AZ),32581
Dave Reichert (WA),32580
Marilyn Musgrave (CO),32579
Kenny Marchant (TX),32578
Jerry Lewis (CA),32577
Jack Kingston (GA),32576
Duncan Hunter (CA),32575
Robin Hayes (NC),32574
Jim Gerlach (PA),32573
Dennis Hastert (IL),32572
Tom Feeney (FL),32571
Charles Dent (PA),32570
Nathan Deal (GA),32569
Ander Crenshaw (FL),32568
Jo Bonner (AL),32567
John Boehner (OH),32566
Marsha Blackburn (TN),32565
Dino (Sandeep) Teppara,30944
Bobby (Norris) Vassar,30869
Kathleen Sebelius (KS),25718
Jon Corzine (NJ),25717
Eric Kjonnerod (Ret.),24822
Mitch McConnell (KY),24790
Judd Gregg (NH),24789
Thad Cochran (MS),24788
Christopher Bond (MO),24787
Mitch McConnell (KY),24786
Judd Gregg (NH),24785
Thad Cochran (MS),24784
Christopher Bond (MO),24783
Rosa DeLauro (CT)                       ,24768
Christian Westermann (Ret.),24757
Ariel (Eli) Levite,23800
Ariel (Eli) Levite,23798
Ariel (Eli) Levite,23796
James Heller (DOS),23376
I. Lewis (Scooter) Libby,23315
Ms. Kim (Korean) Mr. Chuingachan,21155
"Mitch McConnell (R-KY), Jon Kyl (R-AZ) a",19179
Connie Mack (R-FL),3473923
Chris Smith (R-NJ),3473925
Dongman (David) Han,11326
