clientreg_id,registration,reg_id,client_id,nclient_id,file_id
414,245,5781,335,84857,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
415,245,5781,48,84858,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
416,246,5781,134,84859,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
279,169,5781,220,84860,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
280,169,5781,299,84860,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
281,169,5781,160,84860,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
282,169,5781,380,84861,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
283,169,5781,232,84862,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
284,170,5781,299,84862,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
285,170,5781,160,84862,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
286,170,5781,380,84862,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
287,170,5781,232,84862,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
288,170,5781,220,84862,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
289,171,5781,52,84863,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
290,172,5781,52,84863,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
291,173,5781,229,84864,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
292,174,5781,113,84864,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
293,175,5781,23,84865,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
294,176,5781,182,84865,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
295,177,5781,106,84866,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
296,178,5781,278,84867,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
297,179,5781,113,84867,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
298,180,5781,58,84868,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
299,181,5781,60,84869,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
300,182,5781,298,84870,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
424,252,5781,173,84871,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
302,184,5781,173,84871,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
303,185,5781,283,84872,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
304,186,5781,185,84873,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
305,187,5781,185,84873,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
306,188,5781,47,84874,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
307,189,5781,273,84875,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
308,190,5781,273,84875,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
426,254,5781,79,84876,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
310,192,5781,104,84877,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
311,192,5781,79,84877,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
312,193,5781,204,84878,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
313,194,5781,237,84879,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
314,195,5781,237,84879,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
315,196,5781,121,84880,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
316,197,5781,181,84881,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
317,198,5781,68,84882,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
318,199,5781,68,84882,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
319,200,5781,250,84883,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
320,201,5781,250,84883,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
321,202,5781,49,84884,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
322,202,5781,137,84885,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
323,203,5781,137,84885,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
324,204,5781,358,84886,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
325,204,5781,373,84887,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
326,204,5781,356,84888,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
327,204,5781,175,84889,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
328,205,5781,358,84889,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
329,205,5781,373,84889,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
330,205,5781,356,84889,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
331,205,5781,175,84889,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
332,206,5781,87,84890,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
333,207,5781,252,84891,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
334,208,5781,252,84891,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
335,209,5781,109,84891,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
336,209,5781,42,84892,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
337,210,5781,109,84892,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
338,210,5781,42,84892,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
339,211,5781,152,84893,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
340,212,5781,152,84893,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
341,213,5781,371,84894,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
342,214,5781,371,84894,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
