Ken Myers,Kenneth Myers III
Ken Myers,Kenneth Myers III
Ken Myers,Kenneth Myers III
Ken Myers,Kenneth Myers III
Michael L. McCord,Michael L. McCord and Lucian L. Niemyer
Lucian L. Niemyer,Michael L. McCord and Lucian L. Niemyer
Patricia Hill,Patricia Hill and Rosanne Haroian
Rosanne Haroian,Patricia Hill and Rosanne Haroian
Patricia Hill,Patricia Hill and Rosanne Haroian
Rosanne Haroian,Patricia Hill and Rosanne Haroian
Patricia Hill,Patricia Hill and Rosanne Haroian
Rosanne Haroian,Patricia Hill and Rosanne Haroian
Patricia Hill,Patricia Hill and Rosanne Haroian
Rosanne Haroian,Patricia Hill and Rosanne Haroian
Lorianne Woodrow,Lorianne Woodrow-Moss
Lorraine Woodrow,Lorianne Woodrow-Moss
None,Anthony D. Weiner
Ed Markey,"Markey, Edward J."
Beth Osborne,Elizabeth D Osborne
Connie Mack,"Meeks, Gregory W."
Rep. Meeks,"Meeks, Gregory W."
Rep. Edwards,"Edwards, Donna F."
Amanda Thorpe,Amanda Rogers Thorpe
Alice Holmes,Alice Holmes-McKoy
Kohl,"Kohl, Herb"
DeMint,"DeMint, Jim"
Inhofe,"Inhofe, James M."
Kennedy,"Leahy, Patrick"
Leahy,"Leahy, Patrick"
Feingold,"Feingold, Russ"
Ellison,"Ellison, Keith"
State Department Bureau of Human Rights ,State Department Bureau of Human Rights and Refuge
Ellison,"Ellison, Keith"
McConnell,"McConnell, Mitch"
Jen Stewart,Jennifer Stewart
Jen Stewart,Jennifer Stewart
Jen Stewart,Jennifer Stewart
Jen Stewart,Jennifer Stewart
Bob King,Robert R King
Frank Pallone,"Pallone, Frank Jr."
Frank Pallone,"Pallone, Frank Jr."
Frank Pallone,"Pallone, Frank Jr."
Daroff,William Daroff
N Diament,Nathan Diament
Bob King,Robert R King
Bob King,Robert R King
Jon Clark,Jonathan A Clark
Jon Clark,Jonathan A Clark
Jon Clark,Jonathan A Clark
Bill Brew,William E. Brew
Bill Brew,William E. Brew
Tom Barthold,Thomas A. Barthold
Tom Barthold,Thomas A. Barthold
Robert Scott,"Scott, Robert C. (Bobby)"
Tim Reif,Timothy Reif and Jennifer McCadney
Jennifer McCadney,Timothy Reif and Jennifer McCadney
Demetrios Marantis,Demetrios Marantis and Chelsea Thomas
Chelsea Thomas,Demetrios Marantis and Chelsea Thomas
Greg Lundberg,Greg Lundeburg (Lundberg?)
Greg Meeks,"Meeks, Gregory W."
Greg Lundeburg,Greg Lundeburg (Lundberg?)
Kit Bond,"Bond, Christopher S. (Kit)"
Kit Bond,"Bond, Christopher S. (Kit)"
Chris Moore,Christopher Moore
Chris Moore,Christopher Moore
Mr. Boustany,Charles W. Boustany Jr.
Mr. Boustany,Charles W. Boustany Jr.
None,Ron Klein
None,John Tanner
Christopher Bond (MO),"Bond, Christopher S. (Kit)"
Ben Weiner,Benjamin Weiner
Christopher Bond (MO),"Bond, Christopher S. (Kit)"
Christopher Bond (MO),"Bond, Christopher S. (Kit)"
Jon Stivers,Jonathan Stivers
Jon Stivers,Jonathan Stivers
Christopher Bond (MO),"Bond, Christopher S. (Kit)"
Christopher Bond (MO),"Bond, Christopher S. (Kit)"
None,Bill Delahunt
None,Tom Harkin
None,Betty McCollum
None,Barbara Lee
None,Gregory W. Meeks
None,Maxine Waters
None,Gwen Moore
None,John Lewis
None,Carolyn Cheeks Kilpatrick
None,Hank Johnson
None,Sheila Jackson Lee
None,Chris Dodd
None,Patrick Leahy
None,Edward M. Kennedy
None,Lynn Woolsey
None,Diane E. Watson
None,Sheila Jackson Lee
None,Joe Lieberman
None,Eni F. H. Faleomavaega
None,Daniel K. Akaka
None,Neil Abercrombie
None,Mazie K. Hirono
None,Pete V. Domenici
None,Don Manzullo
None,Donna M. Christensen
None,Eni F. H. Faleomavaega
None,Don Manzullo
None,Don Manzullo
None,Mazie K. Hirono
Meuleman,"Meuleman, Patrick; Taylor, Doug, Roberts, Brooke"
Patrick; Taylor,"Meuleman, Patrick; Taylor, Doug, Roberts, Brooke"
Doug,"Meuleman, Patrick; Taylor, Doug, Roberts, Brooke"
Roberts,"Meuleman, Patrick; Taylor, Doug, Roberts, Brooke"
Sarah Klotz,"Sarah Klotz, Anthony Lazarski, Rachael Bohlander,"
Anthony Lazarski,"Sarah Klotz, Anthony Lazarski, Rachael Bohlander,"
Rachael B,"Sarah Klotz, Anthony Lazarski, Rachael Bohlander,"
None,Steve Chabot
None,Robert P. Casey Jr.
None,Mark Pryor
None,Adrienne Sullivan
Inhofe,"Inhofe, James M."
James M.,"Inhofe, James M."
None,Maggie Ward
None,Amy Vossbrinck
None,Kenneth Myers III
None,Adrienne Sullivan
"General ""Kip"" Ward","Gen. William ""Kip"" Ward"
Carper,"Carper, Tom"
Stephanie Swierczek Richardson,Laurie Kassman/Stephanie Richardson
Stephanie Richardson,Laurie Kassman/Stephanie Richardson
Stephanie Richardson,Laurie Kassman/Stephanie Richardson
Ariel Levite,Ariel (Eli) Levite
Stephanie Richardson,Laurie Kassman/Stephanie Richardson
Stephanie Richardson,Laurie Kassman/Stephanie Richardson
Stephanie Richardson,Laurie Kassman/Stephanie Richardson
Stephanie Richardson,Laurie Kassman/Stephanie Richardson
Stephanie Richardson,Laurie Kassman/Stephanie Richardson
M. Verveer,Melanne Verveer
K. Beirne,Katherine Beirne
D. McCormick,"D. McCormick, Nova Daly etal"
Nova Daly etal,"D. McCormick, Nova Daly etal"
M. Verveer,Melanne Verveer
M. Sison,Michele Sison
B. Masilko,Barbara Masilko
B. Masilko,Barbara Masilko
E. Abrams,Elliott Abrams
M. Sison,Michele Sison
M. Verveer,Melanne Verveer
M. Sison,Michele Sison
Speaker,"Speaker, H. E. Fawzi Franso Hariri"
H. E. Fawzi Franso Hariri,"Speaker, H. E. Fawzi Franso Hariri"
Colin Peterson,"Peterson, Collin C."
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Ken Myers,Kenneth Myers Jr
Voinovich,"Voinovich, George V."
Radanovich,"Radanovich, George"
Chris Cooper,Christopher Cooper
Chris Cooper,Christopher Cooper
Chris Lynch,Christopher Lynch
Mr,Swu Keytoyee and Hoytoyee
Mrs Swu Keytoyee,Swu Keytoyee and Hoytoyee
Hoytoyee,Swu Keytoyee and Hoytoyee
Mr,Swu Keytoyee and Hoytoyee
Mrs Swu Keytoyee,Swu Keytoyee and Hoytoyee
Hoytoyee,Swu Keytoyee and Hoytoyee
Mr,Swu Keytoyee and Hoytoyee
Mrs Swu Keytoyee,Swu Keytoyee and Hoytoyee
Hoytoyee,Swu Keytoyee and Hoytoyee
Mr,Swu Keytoyee and Hoytoyee
Mrs Swu Keytoyee,Swu Keytoyee and Hoytoyee
Hoytoyee,Swu Keytoyee and Hoytoyee
Gloria Claure An Marie Whalen George D'A,Gloria Claure An Marie Whalen George D'Angelo
Mom,Mom and Dad
Dad,Mom and Dad
Achan,Achan and Heun Kyun Lyu my cousin
Heun Kyun Lyu my cousin,Achan and Heun Kyun Lyu my cousin
Pastor Zaklei Kaping,Pastor Zaklei Kaping and family Mr Themshang Sarik
family Mr Thems,Pastor Zaklei Kaping and family Mr Themshang Sarik
