orig id,replace with id,name,stripped name
130526,,Emirates Center for Strategic Studies and Research,Emirates Center for Strategic Studies and Research
130154,,Endeavor Group representatives on behalf of Oleg Deripaska,Endeavor Group representatives on behalf of Oleg Deripaska
129755,,ENIT - Agenzia Nazionale del Turismo (Italian Government Tourist Board),ENIT - Agenzia Nazionale del Turismo (Italian Government Tourist Board)
130268,,Enterprise Estonia,Enterprise Estonia
130192,,Enterprise Ireland,Enterprise Ireland
130326,,Enterprise Saskatchewan,Enterprise Saskatchewan
130373,,Government of Equatorial Guinea,Equatorial Guinea
129986,,Republic of Equatorial Guinea,Equatorial Guinea
129849,,"Republic of Equatorial Guinea, Embassy","Equatorial Guinea, Embassy"
130515,,Erel Margalit,Erel Margalit
130045,,Government of Estonia,Estonia
129838,,Government of Ethiopia,Ethiopia
129878,,Ethiopian People Revolutionary Party,Ethiopian People Revolutionary Party
130009,,European Travel Commission,European Travel Commission
130538,,St. Eustatius,Eustatius
129886,,Executive Affairs Authority of the Government of Abu Dhabi,Executive Affairs Authority of Abu Dhabi
130322,,Executive Council of Dubai,Executive Council of Dubai
129778,,The Executive of the World Zionist Organization,Executive of World Zionist Organization
129836,,"Executive Office of Dubai, et al.","Executive Office of Dubai, et al."
130020,,Executive Office of His Highness Sheikh Mohammed Bin Rashad Al Maktoum,Executive Office of His Highness Sheikh Mohammed Bin Rashad Al Maktoum
130051,,"Fair Trade Center, Institute for International Trade and Investment Japan","Fair Trade Center, Institute for International Trade and Investment Japan"
129807,,"Far East Trade Service, Inc.","Far East Trade Service, Inc."
129883,,Federacion Nacional De Cafeteros De Colombia,Federacion Nacional De Cafeteros De Colombia
130379,,Federacion Nacional de Departamentos,Federacion Nacional de Departamentos
129894,,The Federated States of Micronesia,Federated States of Micronesia
129918,,Federation of German Industries / Bundesverband der Deutschen Industrie (BDI),Federation of German Industries / Bundesverband der Deutschen Industrie (BDI)
130102,,Federation of Industries of the State of Sao Paulo,Federation of Industries of Sao Paulo
130335,,Financial Regulatory Authority of Malta,Financial Regulatory Authority of Malta
130507,,First China Import Exposition ,First China Import Exposition 
130053,,Flanders Tourism Board,Flanders Tourism Board
129884,,Fonterra Co-operative Group Ltd.,Fonterra Co-operative Group Ltd.
129786,,"Foreign Government, Kobe Municipal Government","Foreign Government, Kobe Municipal Government"
130341,,Foreign Minister Sergey Lavrov Ministry of Foreign Affairs of the Russian Federation,Foreign Minister Sergey Lavrov Ministry of Foreign Affairs of Russian Federation
129944,,"Forensic Science Service, Ltd.","Forensic Science Service, Ltd."
130496,,Friends of Gilgit Baltistan,Friends of Gilgit Baltistan
129975,,Fukuoka Prefectural Government,Fukuoka Prefectural Government
130037,,"Fundacion para la Inversion y Desarrollo de Exportaciones, Tegucigalpa, Honduras (FIDE)","Fundacion para la Inversion y Desarrollo de Exportaciones, Tegucigalpa, Honduras (FIDE)"
130155,,FundaSistemas (non-profit organization for which the original filing was made in August 2008),FundaSistemas (non-profit organization for which original filing was made in August 2008)
130409,,Fundo Soberano de Angola,Fundo Soberano de Angola
130444,,Funes & Asociados Publicidad,Funes & Asociados Publicidad
130470,,Gabon Guaranteed Housing Funds ,Gabon Guaranteed Housing Funds 
130455,,The Gabonese Republic,Gabonese Republic
130096,,The Gaddafi International Charity and Development Foundation,Gaddafi International Charity and Development Foundation
130546,,Government of the Republic of The Gambia,Gambia
130014,,Gazprom Export,Gazprom Export
130438,,The General People's Committee of Libya,General  Committee of Libya
130107,,"General Authority for Investment and Free Zones, the Arab Republic of Egypt","General Authority for Investment and Free Zones, Arab Egypt"
130436,,General Delegation of the PLO to the United States ,General Delegation of PLO to States 
130424,,General Pervez Musharraf,General Pervez Musharraf
129956,,Government of Georgia,Georgia
130308,,"Government of Georgia, National Security Council","Georgia, National Security Council"
130266,,German Insurance Association,German Insurance Association
129865,,"German Federal Ministry for the Environment, Nuclear Safety, and Nature Conservation","German Ministry for Environment, Nuclear Safety, and Nature Conservation"
129840,,German State of Rheinland-Pfalz,German Rheinland-Pfalz
129967,,Government of the Republic of Ghana (Gh),Ghana (Gh)
129854,,Gibraltar,Gibraltar
130202,,Global Guardian Trust,Global Guardian Trust
130048,,"Gordon Brown, Prime Minister of the United Kingdom","Gordon Brown, Prime Minister of Kingdom"
130453,,The Government ofthe Republic of Haiti,Government ofHaiti
130132,,The Grand National Party of Korea,Grand National Party of Korea
130477,,"Grayling Momentum (for Grayling Momentum's client, Qatar National Food Security Programme)","Grayling Momentum (for Grayling Momentum's client, Qatar National Food Security Programme)"
129801,,The Great Socialist People's Libyan Arab Jamahiriya,Great Socialist  Libyan Arab Jamahiriya
129945,,Government of Greece,Greece
130534,,Grenada,Grenada
130213,,Grupo Vicini,Grupo Vicini
130535,,Guadalupe st. Barts,Guadalupe Barts
130471,,Government of Guatemala Ministry of Economy,Guatemala Ministry of Economy
130482,, Republic of Guinea-Bissau,Guinea-Bissau
130394,,Gustavo Envela,Gustavo Envela
130130,,Republic of Guyana,Guyana
130269,,The Royal Hashemite Court of Jordan,Hashemite Court of Jordan
130101,,"Royal Hashemite Court, Hashemite Kingdom Of Jordan","Hashemite Court, Hashemite Jordan"
130175,,"The City of Heidelberg, Germany","Heidelberg, Germany"
129747,,His Holiness the Dalai Lama,His Holiness Dalai Lama
130098,,Government of Honduras,Honduras
129954,,Hong Kong Economic and Trade Office,Hong Kong Economic and Trade Office
130034,,The Government of Hong Kong Special Administrative Region,Hong Kong Special Administrative Region
129760,,Hong Kong Tourism Board,Hong Kong Tourism Board
129771,,Hong Kong Trade Development Council,Hong Kong Trade Development Council
130393,,Horizontes LTDA,Horizontes LTDA
130448,,HRH Prince Adan El-Hashemite,HRH Prince Adan El-Hashemite
130131,,Government of Hungary,Hungary
130497,,Hungary Ministry of Public Administration and Justice,Hungary Ministry of Public Administration and Justice
130124,,"Government of Hungary, Ministry of Finance","Hungary, Ministry of Finance"
129868,,Government of Iceland,Iceland
129804,,Icelandic Tourist Board,Icelandic Tourist Board
129750,,IDA Ireland,IDA Ireland
130071,,Independent Diplomat,Independent Diplomat
129921,,Government of India,India
129780,,Govt. of India Ministry of Tourism,India Ministry of Tourism
130292,,Government of India Tourist Office,India Tourist Office
129806,,India Trade Promotion Organisation,India Trade Promotion Organisation
130283,,"Govt. Of India, Ministry Of Tourism Transport Bhawan","India, Ministry Of Tourism Transport Bhawan"
130510,,"The Information Affairs Authority, Kingdom of Bahrain","Information Affairs Authority, Bahrain"
130205,,"The Information Technology Industry Development Agency, ITIDA (through Hill & Knowlton, London)","Information Technology Industry Development Agency, ITIDA (through Hill & Knowlton, London)"
130434,,Innovation Norway,Innovation Norway
129984,,Institute for Liberty and Democracy (ILD),Institute for Liberty and Democracy (ILD)
129942,,Institute Of Cetacean Research,Institute Of Cetacean Research
130066,,Instituto Costarricence de Turismo (Costa Rican Tourism Institute),Instituto Costarricence de Turismo (Costa Rican Tourism Institute)
130557,,Instituto Guatelmateco de Turismo INGUAT (Guatemalan Institute of Tourism,Instituto Guatelmateco de Turismo INGUAT (Guatemalan Institute of Tourism
129892,,International Bank of Azerbaijan,International Bank of Azerbaijan
129924,,International Business Organization of Osaka(IBO),International Business Organization of Osaka(IBO)
130458,,"International Counsel Bureau, Kuwait","International Counsel Bureau, Kuwait"
129749,,"International Counsel Bureau, Kuwaiti Counsel for the Families of Kuwaiti Citizens at Guantanamo Bay","International Counsel Bureau, Kuwaiti Counsel for Families of Kuwaiti Citizens at Guantanamo Bay"
129859,,International Sugar Policy Coordinating Commission of the Dominican Republic (Dominican Sugar Commission),International Sugar Policy Coordinating Commission of Dominican Republic (Dominican Sugar Commission)
130090,,International Underwriting Association of London,International Underwriting Association of London
130359,,International Waterfront Resources Ltd.,International Waterfront Resources Ltd.
130298,,Invest Barbados,Invest Barbados
130469,,Invest in Iceland,Invest in Iceland
129907,,Invest Northern Ireland,Invest Northern Ireland
130148,,Investissement Quebec,Investissement Quebec
129877,,Investment Promotion Agency of Spain - INTERES,Investment Promotion Agency of Spain - INTERES
130054,,Republic of Iraq,Iraq
129897,,"The Republic of Iraq, acting through the Ministry of Finance","Iraq, acting through Ministry of Finance"
129950,,Iraqi National Accord,Iraqi National Accord
130549,,Iraqiya List,Iraqiya List
130147,,"ISCI-USA, Inc","ISCI-USA, Inc"
129745,,Ishikawa Prefectural Government,Ishikawa Prefectural Government
129943,,Government of the Islamic Republic of Pakistan,Islamic Pakistan
130152,,Islamic Supreme Council of Iraq,Islamic Supreme Council of Iraq
129799,,Isle of Man,Isle of Man
129748,,State of Israel,Israel
130018,,Israel Ministry of Tourism,Israel Ministry of Tourism
130222,,Istanbul Iron and Steel Exporters Assoc.,Istanbul Iron and Steel Exporters Assoc.
130411,,Italian Democratic Party,Italian Democratic Party
130156,,The Italian Government And/or Political Party Under Thereof,Italian Government And/or Political Party Under Thereof
130137,,Government of Jamaica through Harold C.W. Brady of Brady and Co.,Jamaica through Harold C.W. Brady of Brady and Co.
129739,,Jamaica Tourist Board,Jamaica Tourist Board
129776,,Government of Japan,Japan
130127,,"Japan Airport Consultants, Inc.","Japan Airport Consultants, Inc."
129869,,"Japan Automobile Manufacturers, Inc.","Japan Automobile Manufacturers, Inc."
129744,,Japan External Trade Organization (JETRO),Japan External Trade Organization (JETRO)
129805,,Japan Fisheries Association (JFA),Japan Fisheries Association (JFA)
130231,,"Japan International Broadcasting, Inc.","Japan International Broadcasting, Inc."
129782,,Japan National Tourism Organization,Japan National Tourism Organization
130289,,Japanese Government,Japanese Government
130495,,Jean-Jacques Ekindi,Jean-Jacques Ekindi
130294,,JETRO New York,JETRO New York
130406,,Jin-Pyng Wang,Jin-Pyng Wang
129861,,JNG Shareholders Group,JNG Shareholders Group
130234,,"Joint Stock Company ""Techsnabexport""","Joint Stock Company ""Techsnabexport"""
129796,,Kingdom of Jordan,Jordan
129746,,Kanagawa Prefectural Government,Kanagawa Prefectural Government
130099,,Republic of Kenya,Kenya
130161,,Kestral Holdings (Pvt.) Ltd.,Kestral Holdings (Pvt.) Ltd.
130421,,Khayal Sharif-zedah,Khayal Sharif-zedah
130076,,Kili/Bikini/Ejit Local Government Council,Kili/Bikini/Ejit Local Government Council
130500,,"King Abdullah City for Atomic and Renewable Energy (""KACARE"") ","King Abdullah City for Atomic and Renewable Energy (""KACARE"") "
130032,,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology
